parameter,measure_id,measure,metric_id,location_id,age_group_id,sex_id,location_name,sex,age,mean,lower,upper
Total anemia,3,ylds,rate,6,1,3,China,Both,Under Five,0.001931748,0.001082939,0.003120201
Mild anemia,3,ylds,rate,6,1,3,China,Both,Under Five,0.000238999,8.70E-05,0.000517667
Moderate anemia,3,ylds,rate,6,1,3,China,Both,Under Five,0.001467067,0.000841998,0.002326116
Severe anemia,3,ylds,rate,6,1,3,China,Both,Under Five,0.000225682,0.000114452,0.000394197
Total anemia,3,ylds,count,6,169,2,China,Female,Reproductive age,993982.6486,601384.7733,1515893.256
Mild anemia,3,ylds,count,6,169,2,China,Female,Reproductive age,115288.7109,41543.70268,260778.2519
Moderate anemia,3,ylds,count,6,169,2,China,Female,Reproductive age,761956.4422,463087.0774,1123344.969
Severe anemia,3,ylds,count,6,169,2,China,Female,Reproductive age,116737.4955,66269.58064,185343.2335
Total anemia,5,prevalence,count,6,169,2,China,Female,Reproductive age,46928914.72,41046607.28,52598127.62
Mild anemia,5,prevalence,count,6,169,2,China,Female,Reproductive age,31275760.86,28487238.03,33798099.05
Moderate anemia,5,prevalence,count,6,169,2,China,Female,Reproductive age,14864539.14,12034079.81,17840242.57
Severe anemia,5,prevalence,count,6,169,2,China,Female,Reproductive age,788614.7155,518119.6837,1118882.794
Total anemia,3,ylds,rate,6,169,2,China,Female,Reproductive age,0.002232237,0.001358266,0.003401199
Mild anemia,3,ylds,rate,6,169,2,China,Female,Reproductive age,0.000258808,9.33E-05,0.000585106
Moderate anemia,3,ylds,rate,6,169,2,China,Female,Reproductive age,0.001711159,0.001042729,0.002520441
Severe anemia,3,ylds,rate,6,169,2,China,Female,Reproductive age,0.00026227,0.000148928,0.000415853
Total anemia,5,prevalence,rate,6,169,2,China,Female,Reproductive age,0.105413151,0.092149412,0.1180992
Mild anemia,5,prevalence,rate,6,169,2,China,Female,Reproductive age,0.070249557,0.063951586,0.07590408
Moderate anemia,5,prevalence,rate,6,169,2,China,Female,Reproductive age,0.033391711,0.027014985,0.040205438
Severe anemia,5,prevalence,rate,6,169,2,China,Female,Reproductive age,0.001771883,0.001171559,0.002510429
Maternal disorder burden attributable to iron deficiency,2,dalys,count,6,169,2,China,female,Reproductive age,17558.76106,5961.172412,31155.2065
Maternal disorder burden attributable to iron deficiency,2,dalys,rate,6,169,2,China,female,Reproductive age,3.94E-05,1.34E-05,6.99E-05
Total iron responsive anemia,5,prevalence,rate,171,169,2,Democratic Republic of the Congo,Female,Reproductive age,0.21460784,0.178088288,0.249797034
Total iron responsive anemia,3,ylds,count,171,169,2,Democratic Republic of the Congo,Female,Reproductive age,202057.6416,128156.9995,298050.2062
Total iron responsive anemia,3,ylds,rate,171,169,2,Democratic Republic of the Congo,Female,Reproductive age,0.007339678,0.004655261,0.010826577
Total iron responsive anemia,5,prevalence,count,171,169,2,Democratic Republic of the Congo,Female,Reproductive age,5908045.79,4902680.906,6876786.574
Total iron responsive anemia,3,ylds,rate,171,1,3,Democratic Republic of the Congo,Both,Under Five,0.01412889,0.008989381,0.020813424
Total iron responsive anemia,5,prevalence,rate,171,1,3,Democratic Republic of the Congo,Both,Under Five,0.464278652,0.408177785,0.521840182
Total iron responsive anemia,3,ylds,count,171,1,3,Democratic Republic of the Congo,Both,Under Five,192569.2139,122520.4506,283675.8379
Total iron responsive anemia,5,prevalence,count,171,1,3,Democratic Republic of the Congo,Both,Under Five,6327869.713,5563244.903,7112402.578
Mean hemoglobin concentration,n/a,g/L,g/L,171,1,3,Democratic Republic of the Congo,Both,Under five,105.3666388,103.2192664,107.4858718
Mean hemoglobin concentration,n/a,g/L,g/L,171,169,2,Democratic Republic of the Congo,Female,Reproductive age,120.6577601,118.7663487,122.4054047
Total anemia,5,prevalence,count,171,1,3,Democratic Republic of the Congo,Both,Under Five,8194765.324,7430553.591,8970488.028
Mild anemia,5,prevalence,count,171,1,3,Democratic Republic of the Congo,Both,Under Five,3492445.754,3243359.086,3741649.891
Moderate anemia,5,prevalence,count,171,1,3,Democratic Republic of the Congo,Both,Under Five,4411630.444,3855150.302,5010833.057
Severe anemia,5,prevalence,count,171,1,3,Democratic Republic of the Congo,Both,Under Five,290689.1253,216098.5542,387267.0927
Total anemia,3,ylds,count,171,1,3,Democratic Republic of the Congo,Both,Under Five,280382.4156,175950.4768,406346.8926
Mild anemia,3,ylds,count,171,1,3,Democratic Republic of the Congo,Both,Under Five,12843.45104,4490.559025,28326.27899
Moderate anemia,3,ylds,count,171,1,3,Democratic Republic of the Congo,Both,Under Five,225136.644,139674.1927,329140.0167
Severe anemia,3,ylds,count,171,1,3,Democratic Republic of the Congo,Both,Under Five,42402.32048,26346.69434,63884.59518
Total anemia,5,prevalence,rate,171,1,3,Democratic Republic of the Congo,Both,Under Five,0.601253625,0.545183065,0.658168749
Mild anemia,5,prevalence,rate,171,1,3,Democratic Republic of the Congo,Both,Under Five,0.256242319,0.237966718,0.274526539
Moderate anemia,5,prevalence,rate,171,1,3,Democratic Republic of the Congo,Both,Under Five,0.323683314,0.282854115,0.367647079
Severe anemia,5,prevalence,rate,171,1,3,Democratic Republic of the Congo,Both,Under Five,0.021327992,0.015855248,0.028413961
Total anemia,3,ylds,rate,171,1,3,Democratic Republic of the Congo,Both,Under Five,0.020571784,0.012909566,0.029813855
Mild anemia,3,ylds,rate,171,1,3,Democratic Republic of the Congo,Both,Under Five,0.00094233,0.000329474,0.002078312
Moderate anemia,3,ylds,rate,171,1,3,Democratic Republic of the Congo,Both,Under Five,0.016518377,0.010247958,0.024149151
Severe anemia,3,ylds,rate,171,1,3,Democratic Republic of the Congo,Both,Under Five,0.003111077,0.001933069,0.004687242
Total anemia,3,ylds,count,171,169,2,Democratic Republic of the Congo,Female,Reproductive age,349853.9943,219894.8653,525462.6098
Mild anemia,3,ylds,count,171,169,2,Democratic Republic of the Congo,Female,Reproductive age,17880.15743,6357.363705,40088.36196
Moderate anemia,3,ylds,count,171,169,2,Democratic Republic of the Congo,Female,Reproductive age,280198.6407,176080.6608,419494.6517
Severe anemia,3,ylds,count,171,169,2,Democratic Republic of the Congo,Female,Reproductive age,51775.19616,30157.59201,80728.48254
Total anemia,5,prevalence,count,171,169,2,Democratic Republic of the Congo,Female,Reproductive age,10684905.95,9544333.652,11953659.4
Mild anemia,5,prevalence,count,171,169,2,Democratic Republic of the Congo,Female,Reproductive age,4852086.497,4488275.653,5232051.432
Moderate anemia,5,prevalence,count,171,169,2,Democratic Republic of the Congo,Female,Reproductive age,5479879.984,4683768.563,6353042.74
Severe anemia,5,prevalence,count,171,169,2,Democratic Republic of the Congo,Female,Reproductive age,352939.4663,262180.0486,485491.8061
Total anemia,3,ylds,rate,171,169,2,Democratic Republic of the Congo,Female,Reproductive age,0.012717181,0.008035876,0.019087258
Mild anemia,3,ylds,rate,171,169,2,Democratic Republic of the Congo,Female,Reproductive age,0.000649781,0.000231783,0.001456197
Moderate anemia,3,ylds,rate,171,169,2,Democratic Republic of the Congo,Female,Reproductive age,0.010184997,0.006439149,0.015238007
Severe anemia,3,ylds,rate,171,169,2,Democratic Republic of the Congo,Female,Reproductive age,0.001882404,0.001103841,0.002932436
Total anemia,5,prevalence,rate,171,169,2,Democratic Republic of the Congo,Female,Reproductive age,0.388478654,0.34699355,0.434212786
Mild anemia,5,prevalence,rate,171,169,2,Democratic Republic of the Congo,Female,Reproductive age,0.176414382,0.163051167,0.190052565
Moderate anemia,5,prevalence,rate,171,169,2,Democratic Republic of the Congo,Female,Reproductive age,0.199231625,0.170953623,0.230772209
Severe anemia,5,prevalence,rate,171,169,2,Democratic Republic of the Congo,Female,Reproductive age,0.012832647,0.009533543,0.017635332
Maternal disorder burden attributable to iron deficiency,2,dalys,count,171,169,2,Democratic Republic of the Congo,female,Reproductive age,136168.1179,49175.59634,231623.3025
Maternal disorder burden attributable to iron deficiency,2,dalys,rate,171,169,2,Democratic Republic of the Congo,female,Reproductive age,0.004946263,0.001786288,0.008413641
Total iron responsive anemia,3,ylds,rate,141,169,2,Egypt,Female,Reproductive age,0.004046596,0.00267947,0.006137024
Total iron responsive anemia,5,prevalence,count,141,169,2,Egypt,Female,Reproductive age,5113735.103,4161064.043,6156679.765
Total iron responsive anemia,5,prevalence,rate,141,169,2,Egypt,Female,Reproductive age,0.160024892,0.130212811,0.192661918
Total iron responsive anemia,3,ylds,count,141,169,2,Egypt,Female,Reproductive age,129312.5061,85624.79943,196113.9695
Total iron responsive anemia,5,prevalence,count,141,1,3,Egypt,Both,Under Five,2601326.187,2040169.733,3231044.592
Total iron responsive anemia,3,ylds,rate,141,1,3,Egypt,Both,Under Five,0.004849846,0.002744642,0.007833913
Total iron responsive anemia,5,prevalence,rate,141,1,3,Egypt,Both,Under Five,0.24030296,0.188464956,0.298474518
Total iron responsive anemia,3,ylds,count,141,1,3,Egypt,Both,Under Five,52500.52934,29711.28608,84803.62419
Mean hemoglobin concentration,n/a,g/L,g/L,141,1,3,Egypt,Both,Under five,116.4969792,114.2024901,118.8419988
Mean hemoglobin concentration,n/a,g/L,g/L,141,169,2,Egypt,Female,Reproductive age,126.9185763,125.3070396,128.5298393
Total anemia,5,prevalence,count,141,1,3,Egypt,Both,Under Five,3034634.886,2410067.303,3712898.703
Mild anemia,5,prevalence,count,141,1,3,Egypt,Both,Under Five,2056689.285,1672973.5,2470900.423
Moderate anemia,5,prevalence,count,141,1,3,Egypt,Both,Under Five,952336.8963,678291.1848,1250040.691
Severe anemia,5,prevalence,count,141,1,3,Egypt,Both,Under Five,25608.70503,15884.77975,37072.02983
Total anemia,3,ylds,count,141,1,3,Egypt,Both,Under Five,60430.10681,34013.08615,98786.49499
Mild anemia,3,ylds,count,141,1,3,Egypt,Both,Under Five,7619.614175,2594.731559,17424.71171
Moderate anemia,3,ylds,count,141,1,3,Egypt,Both,Under Five,49013.73644,27451.40535,80478.96318
Severe anemia,3,ylds,count,141,1,3,Egypt,Both,Under Five,3796.756193,1959.063623,6400.94162
Total anemia,5,prevalence,rate,141,1,3,Egypt,Both,Under Five,0.280330759,0.22263502,0.342986801
Mild anemia,5,prevalence,rate,141,1,3,Egypt,Both,Under Five,0.189990984,0.154544434,0.228254607
Moderate anemia,5,prevalence,rate,141,1,3,Egypt,Both,Under Five,0.087974117,0.06265857,0.115475129
Severe anemia,5,prevalence,rate,141,1,3,Egypt,Both,Under Five,0.002365658,0.00146739,0.003424606
Total anemia,3,ylds,rate,141,1,3,Egypt,Both,Under Five,0.005582358,0.00314203,0.00912561
Mild anemia,3,ylds,rate,141,1,3,Egypt,Both,Under Five,0.000703878,0.000239694,0.001609644
Moderate anemia,3,ylds,rate,141,1,3,Egypt,Both,Under Five,0.004527747,0.002535881,0.007434413
Severe anemia,3,ylds,rate,141,1,3,Egypt,Both,Under Five,0.000350733,0.000180973,0.0005913
Total anemia,3,ylds,count,141,169,2,Egypt,Female,Reproductive age,141634.1867,84189.37506,225717.6978
Mild anemia,3,ylds,count,141,169,2,Egypt,Female,Reproductive age,17209.333,6059.320632,37660.7788
Moderate anemia,3,ylds,count,141,169,2,Egypt,Female,Reproductive age,115299.3473,70334.84644,182507.1658
Severe anemia,3,ylds,count,141,169,2,Egypt,Female,Reproductive age,9125.506433,5065.15242,14988.07723
Total anemia,5,prevalence,count,141,169,2,Egypt,Female,Reproductive age,6961340.309,5807723.633,8211284.637
Mild anemia,5,prevalence,count,141,169,2,Egypt,Female,Reproductive age,4653243.388,4020860.776,5314227.125
Moderate anemia,5,prevalence,count,141,169,2,Egypt,Female,Reproductive age,2246595.81,1705955.048,2880085.382
Severe anemia,5,prevalence,count,141,169,2,Egypt,Female,Reproductive age,61501.11119,40724.54325,90057.71222
Total anemia,3,ylds,rate,141,169,2,Egypt,Female,Reproductive age,0.00443516,0.002639585,0.007063418
Mild anemia,3,ylds,rate,141,169,2,Egypt,Female,Reproductive age,0.000538784,0.000189714,0.001178524
Moderate anemia,3,ylds,rate,141,169,2,Egypt,Female,Reproductive age,0.003610565,0.002206847,0.005711225
Severe anemia,3,ylds,rate,141,169,2,Egypt,Female,Reproductive age,0.000285811,0.000160028,0.000469024
Total anemia,5,prevalence,rate,141,169,2,Egypt,Female,Reproductive age,0.218045875,0.181783712,0.256956981
Mild anemia,5,prevalence,rate,141,169,2,Egypt,Female,Reproductive age,0.14575373,0.125847085,0.166298919
Moderate anemia,5,prevalence,rate,141,169,2,Egypt,Female,Reproductive age,0.070366026,0.053460859,0.090126951
Severe anemia,5,prevalence,rate,141,169,2,Egypt,Female,Reproductive age,0.001926119,0.001278494,0.00281819
Maternal disorder burden attributable to iron deficiency,2,dalys,count,141,169,2,Egypt,female,Reproductive age,7215.534237,2498.030903,12949.34789
Maternal disorder burden attributable to iron deficiency,2,dalys,rate,141,169,2,Egypt,female,Reproductive age,0.000225797,7.82E-05,0.000405226
Total iron responsive anemia,5,prevalence,rate,179,169,2,Ethiopia,Female,Reproductive age,0.150880082,0.135513756,0.166764199
Total iron responsive anemia,3,ylds,count,179,169,2,Ethiopia,Female,Reproductive age,177368.8473,118041.3544,250573.793
Total iron responsive anemia,3,ylds,rate,179,169,2,Ethiopia,Female,Reproductive age,0.005136537,0.003418434,0.007256525
Total iron responsive anemia,5,prevalence,count,179,169,2,Ethiopia,Female,Reproductive age,5210013.591,4679401.663,5758505.211
Total iron responsive anemia,3,ylds,rate,179,1,3,Ethiopia,Both,Under Five,0.017569858,0.011749222,0.026220203
Total iron responsive anemia,5,prevalence,rate,179,1,3,Ethiopia,Both,Under Five,0.527380113,0.501399049,0.553048904
Total iron responsive anemia,3,ylds,count,179,1,3,Ethiopia,Both,Under Five,293059.4308,195973.1428,437344.3366
Total iron responsive anemia,5,prevalence,count,179,1,3,Ethiopia,Both,Under Five,8796526.19,8363170.618,9224673.166
Mean hemoglobin concentration,n/a,g/L,g/L,179,1,3,Ethiopia,Both,Under five,106.4254931,105.4609349,107.3708817
Mean hemoglobin concentration,n/a,g/L,g/L,179,169,2,Ethiopia,Female,Reproductive age,130.3326256,129.4741213,131.3038655
Total anemia,5,prevalence,count,179,1,3,Ethiopia,Both,Under Five,9598886.894,9151362.43,10029867.13
Mild anemia,5,prevalence,count,179,1,3,Ethiopia,Both,Under Five,4146989.511,3971639.362,4316458.918
Moderate anemia,5,prevalence,count,179,1,3,Ethiopia,Both,Under Five,5091828.191,4765269.118,5432556.846
Severe anemia,5,prevalence,count,179,1,3,Ethiopia,Both,Under Five,360069.1921,311039.9544,421532.7903
Total anemia,3,ylds,count,179,1,3,Ethiopia,Both,Under Five,328003.5504,216185.3948,492691.629
Mild anemia,3,ylds,count,179,1,3,Ethiopia,Both,Under Five,15280.90582,5416.822297,33365.6281
Moderate anemia,3,ylds,count,179,1,3,Ethiopia,Both,Under Five,260140.1161,169018.7306,381732.4614
Severe anemia,3,ylds,count,179,1,3,Ethiopia,Both,Under Five,52582.52855,34991.88452,75805.51132
Total anemia,5,prevalence,rate,179,1,3,Ethiopia,Both,Under Five,0.575484224,0.548653689,0.601322879
Mild anemia,5,prevalence,rate,179,1,3,Ethiopia,Both,Under Five,0.248625395,0.238112588,0.258785632
Moderate anemia,5,prevalence,rate,179,1,3,Ethiopia,Both,Under Five,0.30527152,0.285693251,0.325699302
Severe anemia,5,prevalence,rate,179,1,3,Ethiopia,Both,Under Five,0.021587309,0.018647848,0.02527225
Total anemia,3,ylds,rate,179,1,3,Ethiopia,Both,Under Five,0.019664871,0.012961012,0.029538452
Mild anemia,3,ylds,rate,179,1,3,Ethiopia,Both,Under Five,0.00091614,0.000324756,0.002000377
Moderate anemia,3,ylds,rate,179,1,3,Ethiopia,Both,Under Five,0.015596239,0.010133218,0.022886092
Severe anemia,3,ylds,rate,179,1,3,Ethiopia,Both,Under Five,0.003152492,0.002097876,0.004544785
Total anemia,3,ylds,count,179,169,2,Ethiopia,Female,Reproductive age,218969.5392,143060.6792,324926.8931
Mild anemia,3,ylds,count,179,169,2,Ethiopia,Female,Reproductive age,13149.51985,4684.929433,28698.03686
Moderate anemia,3,ylds,count,179,169,2,Ethiopia,Female,Reproductive age,165864.3879,106212.7941,247303.1093
Severe anemia,3,ylds,count,179,169,2,Ethiopia,Female,Reproductive age,39955.63148,25986.54883,56821.44872
Total anemia,5,prevalence,count,179,169,2,Ethiopia,Female,Reproductive age,7077553.512,6517280.585,7667532.029
Mild anemia,5,prevalence,count,179,169,2,Ethiopia,Female,Reproductive age,3566312.946,3349342.355,3772296.67
Moderate anemia,5,prevalence,count,179,169,2,Ethiopia,Female,Reproductive age,3239416.821,2892109.392,3626321.974
Severe anemia,5,prevalence,count,179,169,2,Ethiopia,Female,Reproductive age,271823.7456,230644.5235,316108.3708
Total anemia,3,ylds,rate,179,169,2,Ethiopia,Female,Reproductive age,0.006346197,0.004148812,0.009409764
Mild anemia,3,ylds,rate,179,169,2,Ethiopia,Female,Reproductive age,0.000380995,0.000135997,0.000831085
Moderate anemia,3,ylds,rate,179,169,2,Ethiopia,Female,Reproductive age,0.004807061,0.00307702,0.007161807
Severe anemia,3,ylds,rate,179,169,2,Ethiopia,Female,Reproductive age,0.001158141,0.000752902,0.001645528
Total anemia,5,prevalence,rate,179,169,2,Ethiopia,Female,Reproductive age,0.205172409,0.188771913,0.222048915
Mild anemia,5,prevalence,rate,179,169,2,Ethiopia,Female,Reproductive age,0.103385293,0.097307975,0.109244328
Moderate anemia,5,prevalence,rate,179,169,2,Ethiopia,Female,Reproductive age,0.093907612,0.083881991,0.105016954
Severe anemia,5,prevalence,rate,179,169,2,Ethiopia,Female,Reproductive age,0.007879505,0.006679722,0.009154382
Maternal disorder burden attributable to iron deficiency,2,dalys,count,179,169,2,Ethiopia,female,Reproductive age,92998.85555,30467.16429,167221.9229
Maternal disorder burden attributable to iron deficiency,2,dalys,rate,179,169,2,Ethiopia,female,Reproductive age,0.002693213,0.000882318,0.004842686
Total iron responsive anemia,5,prevalence,rate,207,169,2,Ghana,Female,Reproductive age,0.24548166,0.202299655,0.288871359
Total iron responsive anemia,3,ylds,count,207,169,2,Ghana,Female,Reproductive age,85751.14704,53146.54846,126467.0744
Total iron responsive anemia,3,ylds,rate,207,169,2,Ghana,Female,Reproductive age,0.007815008,0.004843559,0.011525691
Total iron responsive anemia,5,prevalence,count,207,169,2,Ghana,Female,Reproductive age,2693577.872,2219757.976,3169676.706
Total iron responsive anemia,3,ylds,rate,207,1,3,Ghana,Both,Under Five,0.017105684,0.010785605,0.026012615
Total iron responsive anemia,5,prevalence,rate,207,1,3,Ghana,Both,Under Five,0.539933037,0.470387437,0.603398313
Total iron responsive anemia,3,ylds,count,207,1,3,Ghana,Both,Under Five,67920.42622,42825.69732,103286.5953
Total iron responsive anemia,5,prevalence,count,207,1,3,Ghana,Both,Under Five,2143876.916,1867736.736,2395874.35
Mean hemoglobin concentration,n/a,g/L,g/L,207,1,3,Ghana,Both,Under five,103.2978942,100.856822,105.7821412
Mean hemoglobin concentration,n/a,g/L,g/L,207,169,2,Ghana,Female,Reproductive age,120.3317951,118.452595,122.2854787
Total anemia,5,prevalence,count,207,1,3,Ghana,Both,Under Five,2623307.703,2337351.462,2883491.12
Mild anemia,5,prevalence,count,207,1,3,Ghana,Both,Under Five,1080392.905,999763.6513,1166661.947
Moderate anemia,5,prevalence,count,207,1,3,Ghana,Both,Under Five,1449732.509,1228332.869,1675952.48
Severe anemia,5,prevalence,count,207,1,3,Ghana,Both,Under Five,93182.2887,65591.43819,134373.6435
Total anemia,3,ylds,count,207,1,3,Ghana,Both,Under Five,91492.55828,59044.18749,137898.8877
Mild anemia,3,ylds,count,207,1,3,Ghana,Both,Under Five,3972.348439,1439.568942,8833.026728
Moderate anemia,3,ylds,count,207,1,3,Ghana,Both,Under Five,73934.22917,47353.64351,108956.0686
Severe anemia,3,ylds,count,207,1,3,Ghana,Both,Under Five,13585.98068,8031.070278,21741.81674
Total anemia,5,prevalence,rate,207,1,3,Ghana,Both,Under Five,0.660677152,0.588659388,0.726204058
Mild anemia,5,prevalence,rate,207,1,3,Ghana,Both,Under Five,0.272095762,0.251789373,0.293822525
Moderate anemia,5,prevalence,rate,207,1,3,Ghana,Both,Under Five,0.365113533,0.309354278,0.422086784
Severe anemia,5,prevalence,rate,207,1,3,Ghana,Both,Under Five,0.023467857,0.016519131,0.033841854
Total anemia,3,ylds,rate,207,1,3,Ghana,Both,Under Five,0.0230423,0.014870213,0.034729683
Mild anemia,3,ylds,rate,207,1,3,Ghana,Both,Under Five,0.001000432,0.000362554,0.002224588
Moderate anemia,3,ylds,rate,207,1,3,Ghana,Both,Under Five,0.018620254,0.011925963,0.027440466
Severe anemia,3,ylds,rate,207,1,3,Ghana,Both,Under Five,0.003421614,0.002022616,0.005475653
Total anemia,3,ylds,count,207,169,2,Ghana,Female,Reproductive age,140313.0093,87685.46238,210325.0274
Mild anemia,3,ylds,count,207,169,2,Ghana,Female,Reproductive age,7803.774194,2724.596912,17524.77438
Moderate anemia,3,ylds,count,207,169,2,Ghana,Female,Reproductive age,112605.7413,70314.61359,168641.49
Severe anemia,3,ylds,count,207,169,2,Ghana,Female,Reproductive age,19903.49381,12175.9822,30947.31684
Total anemia,5,prevalence,count,207,169,2,Ghana,Female,Reproductive age,4460901.171,3966250.536,4986775.193
Mild anemia,5,prevalence,count,207,169,2,Ghana,Female,Reproductive age,2119517.397,1934221.663,2310450.267
Moderate anemia,5,prevalence,count,207,169,2,Ghana,Female,Reproductive age,2205546.074,1870007.676,2579239.073
Severe anemia,5,prevalence,count,207,169,2,Ghana,Female,Reproductive age,135837.6999,99255.69922,180044.0803
Total anemia,3,ylds,rate,207,169,2,Ghana,Female,Reproductive age,0.012796542,0.008043723,0.019168162
Mild anemia,3,ylds,rate,207,169,2,Ghana,Female,Reproductive age,0.000711569,0.000249259,0.001597136
Moderate anemia,3,ylds,rate,207,169,2,Ghana,Female,Reproductive age,0.010269737,0.006419857,0.015369295
Severe anemia,3,ylds,rate,207,169,2,Ghana,Female,Reproductive age,0.001815236,0.001110137,0.002820412
Total anemia,5,prevalence,rate,207,169,2,Ghana,Female,Reproductive age,0.40695369,0.361873139,0.454474276
Mild anemia,5,prevalence,rate,207,169,2,Ghana,Female,Reproductive age,0.193370546,0.176453929,0.210564979
Moderate anemia,5,prevalence,rate,207,169,2,Ghana,Female,Reproductive age,0.201194258,0.170440754,0.23506129
Severe anemia,5,prevalence,rate,207,169,2,Ghana,Female,Reproductive age,0.012388885,0.009064914,0.01640848
Maternal disorder burden attributable to iron deficiency,2,dalys,count,207,169,2,Ghana,female,Reproductive age,22821.9415,7626.885955,40568.20345
Maternal disorder burden attributable to iron deficiency,2,dalys,rate,207,169,2,Ghana,female,Reproductive age,0.002079898,0.000695083,0.00369722
Total iron responsive anemia,3,ylds,rate,1,169,2,Global,Female,Reproductive age,0.006488779,0.004487159,0.009090281
Total iron responsive anemia,5,prevalence,count,1,169,2,Global,Female,Reproductive age,483921960.8,471750308.6,495578733.4
Total iron responsive anemia,5,prevalence,rate,1,169,2,Global,Female,Reproductive age,0.195489847,0.190572868,0.200198831
Total iron responsive anemia,3,ylds,count,1,169,2,Global,Female,Reproductive age,16062536.83,11107660.5,22502379.09
Total iron responsive anemia,5,prevalence,count,1,1,3,Global,Both,Under Five,226191851.3,220918519.3,231381563.7
Total iron responsive anemia,3,ylds,rate,1,1,3,Global,Both,Under Five,0.010304905,0.006890595,0.014917082
Total iron responsive anemia,5,prevalence,rate,1,1,3,Global,Both,Under Five,0.341245151,0.33328952,0.34907463
Total iron responsive anemia,3,ylds,count,1,1,3,Global,Both,Under Five,6830530.95,4567380.575,9887678.618
Mean hemoglobin concentration,n/a,g/L,g/L,1,1,3,Global,Both,Under five,113.6804385,113.3959437,113.9875816
Mean hemoglobin concentration,n/a,g/L,g/L,1,169,2,Global,Female,Reproductive age,127.9299857,127.7399844,128.1155695
Total anemia,5,prevalence,count,1,1,3,Global,Both,Under Five,262204911.5,257082259,266728979.8
Mild anemia,5,prevalence,count,1,1,3,Global,Both,Under Five,125270594.9,122809495.2,127256317.4
Moderate anemia,5,prevalence,count,1,1,3,Global,Both,Under Five,127937744.6,124761154.3,131216089
Severe anemia,5,prevalence,count,1,1,3,Global,Both,Under Five,8996572.015,8436223.798,9576353.074
Total anemia,3,ylds,count,1,1,3,Global,Both,Under Five,8311092.839,5512346.177,12168529.5
Mild anemia,3,ylds,count,1,1,3,Global,Both,Under Five,461525.8739,163197.011,1011052.334
Moderate anemia,3,ylds,count,1,1,3,Global,Both,Under Five,6537079.877,4283573.11,9675535.504
Severe anemia,3,ylds,count,1,1,3,Global,Both,Under Five,1312487.088,878467.6841,1841812.41
Total anemia,5,prevalence,rate,1,1,3,Global,Both,Under Five,0.395576385,0.387848076,0.402401636
Mild anemia,5,prevalence,rate,1,1,3,Global,Both,Under Five,0.188989934,0.185276987,0.191985702
Moderate anemia,5,prevalence,rate,1,1,3,Global,Both,Under Five,0.193013739,0.188221365,0.197959625
Severe anemia,5,prevalence,rate,1,1,3,Global,Both,Under Five,0.013572711,0.012727339,0.0144474
Total anemia,3,ylds,rate,1,1,3,Global,Both,Under Five,0.01253856,0.008316221,0.018358096
Mild anemia,3,ylds,rate,1,1,3,Global,Both,Under Five,0.000696283,0.000246208,0.001525328
Moderate anemia,3,ylds,rate,1,1,3,Global,Both,Under Five,0.009862189,0.006462428,0.014597032
Severe anemia,3,ylds,rate,1,1,3,Global,Both,Under Five,0.001980088,0.001325303,0.002778657
Total anemia,3,ylds,count,1,169,2,Global,Female,Reproductive age,19418336.33,12927649.99,28511244.33
Mild anemia,3,ylds,count,1,169,2,Global,Female,Reproductive age,1175415.255,419808.5124,2594898.282
Moderate anemia,3,ylds,count,1,169,2,Global,Female,Reproductive age,15035422.56,9881319.035,21989063.78
Severe anemia,3,ylds,count,1,169,2,Global,Female,Reproductive age,3207498.514,2169161.81,4523400.457
Total anemia,5,prevalence,count,1,169,2,Global,Female,Reproductive age,635017014.5,625054848.8,645869056.6
Mild anemia,5,prevalence,count,1,169,2,Global,Female,Reproductive age,318896648.1,314401122.5,323975491.2
Moderate anemia,5,prevalence,count,1,169,2,Global,Female,Reproductive age,294206846.9,288512349.1,300716984.8
Severe anemia,5,prevalence,count,1,169,2,Global,Female,Reproductive age,21913519.46,20987230.26,22899082.63
Total anemia,3,ylds,rate,1,169,2,Global,Female,Reproductive age,0.007850582,0.005233199,0.011517681
Mild anemia,3,ylds,rate,1,169,2,Global,Female,Reproductive age,0.000475062,0.000170087,0.00104826
Moderate anemia,3,ylds,rate,1,169,2,Global,Female,Reproductive age,0.006078549,0.003999721,0.008882917
Severe anemia,3,ylds,rate,1,169,2,Global,Female,Reproductive age,0.001296971,0.00087745,0.001827317
Total anemia,5,prevalence,rate,1,169,2,Global,Female,Reproductive age,0.256787183,0.252536281,0.26091158
Mild anemia,5,prevalence,rate,1,169,2,Global,Female,Reproductive age,0.12895398,0.127029209,0.130876307
Moderate anemia,5,prevalence,rate,1,169,2,Global,Female,Reproductive age,0.118971746,0.116557939,0.121480574
Severe anemia,5,prevalence,rate,1,169,2,Global,Female,Reproductive age,0.008861457,0.008478632,0.009250537
Maternal disorder burden attributable to iron deficiency,2,dalys,count,1,169,2,Global,female,Reproductive age,2728444.751,977285.4353,4524661.802
Maternal disorder burden attributable to iron deficiency,2,dalys,rate,1,169,2,Global,female,Reproductive age,0.001102209,0.000394794,0.001827827
Total iron responsive anemia,3,ylds,rate,163,169,2,India,Female,Reproductive age,0.014108068,0.009741364,0.019833915
Total iron responsive anemia,5,prevalence,count,163,169,2,India,Female,Reproductive age,178960343.9,174214856.9,183199982.2
Total iron responsive anemia,5,prevalence,rate,163,169,2,India,Female,Reproductive age,0.386137843,0.375898636,0.395285595
