location_name,vehicle,nutrient,value_description,n_data_points,mean_mean,value_means
Democratic Republic of the Congo,maize flour,zinc,percent of vehicle that is fortified,0,,[nan]
Democratic Republic of the Congo,maize flour,na,percent of vehicle that is industrially produced,1,5.0,[5.0]
Democratic Republic of the Congo,oil,vitamin a,percent of market covered by fortified product,0,,[nan]
Democratic Republic of the Congo,oil,vitamin d,percent of market covered by fortified product,0,,[nan]
Democratic Republic of the Congo,oil,vitamin a,percent of population eating fortified vehicle,0,,[nan]
Democratic Republic of the Congo,oil,vitamin d,percent of population eating fortified vehicle,0,,[nan]
Democratic Republic of the Congo,oil,na,percent of population eating industrially produced vehicle,0,,[nan]
Democratic Republic of the Congo,oil,na,percent of population eating vehicle,5,95.88199999999999,"[97.3, 95.6, 98.1, 88.41, 100.0]"
Democratic Republic of the Congo,oil,vitamin a,percent of vehicle that is fortified,0,,[nan]
Democratic Republic of the Congo,oil,vitamin d,percent of vehicle that is fortified,0,,[nan]
Democratic Republic of the Congo,oil,na,percent of vehicle that is industrially produced,0,,[nan]
Democratic Republic of the Congo,wheat flour,folic acid,percent of market covered by fortified product,0,,[nan]
Democratic Republic of the Congo,wheat flour,iron,percent of market covered by fortified product,0,,[nan]
Democratic Republic of the Congo,wheat flour,vitamin a,percent of market covered by fortified product,0,,[nan]
Democratic Republic of the Congo,wheat flour,vitamin b1,percent of market covered by fortified product,0,,[nan]
Democratic Republic of the Congo,wheat flour,vitamin b12,percent of market covered by fortified product,0,,[nan]
Democratic Republic of the Congo,wheat flour,zinc,percent of market covered by fortified product,0,,[nan]
Democratic Republic of the Congo,wheat flour,folic acid,percent of population eating fortified vehicle,0,,[nan]
Democratic Republic of the Congo,wheat flour,iron,percent of population eating fortified vehicle,0,,[nan]
Democratic Republic of the Congo,wheat flour,vitamin a,percent of population eating fortified vehicle,0,,[nan]
Democratic Republic of the Congo,wheat flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan]
Democratic Republic of the Congo,wheat flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan]
Democratic Republic of the Congo,wheat flour,zinc,percent of population eating fortified vehicle,0,,[nan]
Democratic Republic of the Congo,wheat flour,na,percent of population eating industrially produced vehicle,0,,[nan]
Democratic Republic of the Congo,wheat flour,na,percent of population eating vehicle,1,0.58,[0.58]
Democratic Republic of the Congo,wheat flour,folic acid,percent of vehicle that is fortified,0,,[nan]
Democratic Republic of the Congo,wheat flour,iron,percent of vehicle that is fortified,0,,[nan]
Democratic Republic of the Congo,wheat flour,vitamin a,percent of vehicle that is fortified,0,,[nan]
Democratic Republic of the Congo,wheat flour,vitamin b1,percent of vehicle that is fortified,0,,[nan]
Democratic Republic of the Congo,wheat flour,vitamin b12,percent of vehicle that is fortified,0,,[nan]
Democratic Republic of the Congo,wheat flour,zinc,percent of vehicle that is fortified,0,,[nan]
Democratic Republic of the Congo,wheat flour,na,percent of vehicle that is industrially produced,1,100.0,[100.0]
Egypt,maize flour,folic acid,percent of market covered by fortified product,0,,[nan]
Egypt,maize flour,iron,percent of market covered by fortified product,0,,[nan]
Egypt,maize flour,vitamin a,percent of market covered by fortified product,0,,[nan]
Egypt,maize flour,vitamin b1,percent of market covered by fortified product,0,,[nan]
Egypt,maize flour,vitamin b12,percent of market covered by fortified product,0,,[nan]
Egypt,maize flour,zinc,percent of market covered by fortified product,0,,[nan]
Egypt,maize flour,folic acid,percent of population eating fortified vehicle,0,,[nan]
Egypt,maize flour,iron,percent of population eating fortified vehicle,0,,[nan]
Egypt,maize flour,vitamin a,percent of population eating fortified vehicle,0,,[nan]
Egypt,maize flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan]
Egypt,maize flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan]
Egypt,maize flour,zinc,percent of population eating fortified vehicle,0,,[nan]
Egypt,maize flour,na,percent of population eating industrially produced vehicle,0,,[nan]
Egypt,maize flour,na,percent of population eating vehicle,0,,[nan]
Egypt,maize flour,folic acid,percent of vehicle that is fortified,0,,[nan]
Egypt,maize flour,iron,percent of vehicle that is fortified,0,,[nan]
Egypt,maize flour,vitamin a,percent of vehicle that is fortified,0,,[nan]
Egypt,maize flour,vitamin b1,percent of vehicle that is fortified,0,,[nan]
Egypt,maize flour,vitamin b12,percent of vehicle that is fortified,0,,[nan]
Egypt,maize flour,zinc,percent of vehicle that is fortified,0,,[nan]
Egypt,maize flour,na,percent of vehicle that is industrially produced,1,0.0,[0.0]
Egypt,oil,vitamin a,percent of market covered by fortified product,0,,[nan]
Egypt,oil,vitamin d,percent of market covered by fortified product,0,,[nan]
Egypt,oil,vitamin a,percent of population eating fortified vehicle,0,,[nan]
Egypt,oil,vitamin d,percent of population eating fortified vehicle,0,,[nan]
Egypt,oil,na,percent of population eating industrially produced vehicle,0,,[nan]
Egypt,oil,na,percent of population eating vehicle,0,,[nan]
Egypt,oil,vitamin a,percent of vehicle that is fortified,0,,[nan]
Egypt,oil,vitamin d,percent of vehicle that is fortified,0,,[nan]
Egypt,oil,na,percent of vehicle that is industrially produced,0,,[nan]
Egypt,wheat flour,folic acid,percent of market covered by fortified product,0,,[nan]
Egypt,wheat flour,iron,percent of market covered by fortified product,0,,[nan]
Egypt,wheat flour,vitamin a,percent of market covered by fortified product,0,,[nan]
Egypt,wheat flour,vitamin b1,percent of market covered by fortified product,0,,[nan]
Egypt,wheat flour,vitamin b12,percent of market covered by fortified product,0,,[nan]
Egypt,wheat flour,zinc,percent of market covered by fortified product,0,,[nan]
Egypt,wheat flour,folic acid,percent of population eating fortified vehicle,0,,[nan]
Egypt,wheat flour,iron,percent of population eating fortified vehicle,0,,[nan]
Egypt,wheat flour,vitamin a,percent of population eating fortified vehicle,0,,[nan]
Egypt,wheat flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan]
Egypt,wheat flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan]
Egypt,wheat flour,zinc,percent of population eating fortified vehicle,0,,[nan]
Egypt,wheat flour,na,percent of population eating industrially produced vehicle,0,,[nan]
Egypt,wheat flour,na,percent of population eating vehicle,0,,[nan]
Egypt,wheat flour,folic acid,percent of vehicle that is fortified,0,,[nan]
Egypt,wheat flour,iron,percent of vehicle that is fortified,0,,[nan]
Egypt,wheat flour,vitamin a,percent of vehicle that is fortified,0,,[nan]
Egypt,wheat flour,vitamin b1,percent of vehicle that is fortified,0,,[nan]
Egypt,wheat flour,vitamin b12,percent of vehicle that is fortified,0,,[nan]
Egypt,wheat flour,zinc,percent of vehicle that is fortified,0,,[nan]
Egypt,wheat flour,na,percent of vehicle that is industrially produced,2,100.0,"[100.0, 100.0]"
Ethiopia,maize flour,folic acid,percent of market covered by fortified product,0,,[nan]
Ethiopia,maize flour,iron,percent of market covered by fortified product,0,,[nan]
Ethiopia,maize flour,vitamin a,percent of market covered by fortified product,0,,[nan]
Ethiopia,maize flour,vitamin b1,percent of market covered by fortified product,0,,[nan]
Ethiopia,maize flour,vitamin b12,percent of market covered by fortified product,0,,[nan]
Ethiopia,maize flour,zinc,percent of market covered by fortified product,0,,[nan]
Ethiopia,maize flour,folic acid,percent of population eating fortified vehicle,0,,[nan]
Ethiopia,maize flour,iron,percent of population eating fortified vehicle,0,,[nan]
Ethiopia,maize flour,vitamin a,percent of population eating fortified vehicle,0,,[nan]
Ethiopia,maize flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan]
Ethiopia,maize flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan]
Ethiopia,maize flour,zinc,percent of population eating fortified vehicle,0,,[nan]
Ethiopia,maize flour,na,percent of population eating industrially produced vehicle,0,,[nan]
Ethiopia,maize flour,na,percent of population eating vehicle,0,,[nan]
Ethiopia,maize flour,folic acid,percent of vehicle that is fortified,0,,[nan]
Ethiopia,maize flour,iron,percent of vehicle that is fortified,0,,[nan]
Ethiopia,maize flour,vitamin a,percent of vehicle that is fortified,0,,[nan]
Ethiopia,maize flour,vitamin b1,percent of vehicle that is fortified,0,,[nan]
Ethiopia,maize flour,vitamin b12,percent of vehicle that is fortified,0,,[nan]
Ethiopia,maize flour,zinc,percent of vehicle that is fortified,0,,[nan]
Ethiopia,maize flour,na,percent of vehicle that is industrially produced,0,,[nan]
Ethiopia,oil,vitamin a,percent of market covered by fortified product,0,,[nan]
Ethiopia,oil,vitamin d,percent of market covered by fortified product,0,,[nan]
Ethiopia,oil,vitamin a,percent of population eating fortified vehicle,1,1.0,[1.0]
Ethiopia,oil,vitamin d,percent of population eating fortified vehicle,0,,[nan]
Ethiopia,oil,na,percent of population eating industrially produced vehicle,5,57.2,"[19.0, 92.0, 70.0, 50.0, 55.0]"
Ethiopia,oil,na,percent of population eating vehicle,2,29.35,"[55.0, 3.7]"
Ethiopia,oil,vitamin a,percent of vehicle that is fortified,0,,[nan]
Ethiopia,oil,vitamin d,percent of vehicle that is fortified,0,,[nan]
Ethiopia,oil,na,percent of vehicle that is industrially produced,0,,[nan]
Ethiopia,salt,folic acid,percent of market covered by fortified product,0,,[nan]
Ethiopia,salt,iron,percent of market covered by fortified product,0,,[nan]
Ethiopia,salt,folic acid,percent of population eating fortified vehicle,0,,[nan]
Ethiopia,salt,iron,percent of population eating fortified vehicle,1,85.6,[85.6]
Ethiopia,salt,na,percent of population eating industrially produced vehicle,0,,[nan]
Ethiopia,salt,na,percent of population eating vehicle,0,,[nan]
Ethiopia,salt,folic acid,percent of vehicle that is fortified,0,,[nan]
Ethiopia,salt,iron,percent of vehicle that is fortified,1,89.0,[89.0]
Ethiopia,salt,na,percent of vehicle that is industrially produced,0,,[nan]
Ethiopia,wheat flour,folic acid,percent of market covered by fortified product,0,,[nan]
Ethiopia,wheat flour,iron,percent of market covered by fortified product,0,,[nan]
Ethiopia,wheat flour,vitamin a,percent of market covered by fortified product,0,,[nan]
Ethiopia,wheat flour,vitamin b1,percent of market covered by fortified product,0,,[nan]
Ethiopia,wheat flour,vitamin b12,percent of market covered by fortified product,0,,[nan]
Ethiopia,wheat flour,zinc,percent of market covered by fortified product,0,,[nan]
Ethiopia,wheat flour,folic acid,percent of population eating fortified vehicle,1,1.0,[1.0]
Ethiopia,wheat flour,iron,percent of population eating fortified vehicle,0,,[nan]
Ethiopia,wheat flour,vitamin a,percent of population eating fortified vehicle,0,,[nan]
Ethiopia,wheat flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan]
Ethiopia,wheat flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan]
Ethiopia,wheat flour,zinc,percent of population eating fortified vehicle,0,,[nan]
Ethiopia,wheat flour,na,percent of population eating industrially produced vehicle,6,39.5,"[28.0, 18.0, 89.0, 55.0, 27.0, 20.0]"
Ethiopia,wheat flour,na,percent of population eating vehicle,1,28.0,[28.0]
Ethiopia,wheat flour,folic acid,percent of vehicle that is fortified,0,,[nan]
Ethiopia,wheat flour,iron,percent of vehicle that is fortified,0,,[nan]
Ethiopia,wheat flour,vitamin a,percent of vehicle that is fortified,0,,[nan]
Ethiopia,wheat flour,vitamin b1,percent of vehicle that is fortified,0,,[nan]
Ethiopia,wheat flour,vitamin b12,percent of vehicle that is fortified,0,,[nan]
Ethiopia,wheat flour,zinc,percent of vehicle that is fortified,0,,[nan]
Ethiopia,wheat flour,na,percent of vehicle that is industrially produced,1,55.0,[55.0]
Ghana,bouillon,folic acid,percent of market covered by fortified product,0,,[nan]
Ghana,bouillon,iron,percent of market covered by fortified product,0,,[nan]
Ghana,bouillon,vitamin a,percent of market covered by fortified product,0,,[nan]
Ghana,bouillon,zinc,percent of market covered by fortified product,0,,[nan]
Ghana,bouillon,folic acid,percent of population eating fortified vehicle,0,,[nan]
Ghana,bouillon,iron,percent of population eating fortified vehicle,0,,[nan]
Ghana,bouillon,vitamin a,percent of population eating fortified vehicle,0,,[nan]
Ghana,bouillon,zinc,percent of population eating fortified vehicle,0,,[nan]
Ghana,bouillon,na,percent of population eating industrially produced vehicle,0,,[nan]
Ghana,bouillon,na,percent of population eating vehicle,0,,[nan]
Ghana,bouillon,folic acid,percent of vehicle that is fortified,0,,[nan]
Ghana,bouillon,iron,percent of vehicle that is fortified,0,,[nan]
Ghana,bouillon,vitamin a,percent of vehicle that is fortified,0,,[nan]
Ghana,bouillon,zinc,percent of vehicle that is fortified,0,,[nan]
Ghana,bouillon,na,percent of vehicle that is industrially produced,0,,[nan]
Ghana,maize flour,folic acid,percent of market covered by fortified product,0,,[nan]
Ghana,maize flour,iron,percent of market covered by fortified product,0,,[nan]
Ghana,maize flour,vitamin a,percent of market covered by fortified product,0,,[nan]
Ghana,maize flour,vitamin b1,percent of market covered by fortified product,0,,[nan]
Ghana,maize flour,vitamin b12,percent of market covered by fortified product,0,,[nan]
Ghana,maize flour,zinc,percent of market covered by fortified product,0,,[nan]
Ghana,maize flour,folic acid,percent of population eating fortified vehicle,0,,[nan]
Ghana,maize flour,iron,percent of population eating fortified vehicle,0,,[nan]
Ghana,maize flour,vitamin a,percent of population eating fortified vehicle,0,,[nan]
Ghana,maize flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan]
Ghana,maize flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan]
Ghana,maize flour,zinc,percent of population eating fortified vehicle,0,,[nan]
Ghana,maize flour,na,percent of population eating industrially produced vehicle,0,,[nan]
Ghana,maize flour,na,percent of population eating vehicle,0,,[nan]
Ghana,maize flour,folic acid,percent of vehicle that is fortified,0,,[nan]
Ghana,maize flour,iron,percent of vehicle that is fortified,0,,[nan]
Ghana,maize flour,vitamin a,percent of vehicle that is fortified,0,,[nan]
Ghana,maize flour,vitamin b1,percent of vehicle that is fortified,0,,[nan]
Ghana,maize flour,vitamin b12,percent of vehicle that is fortified,0,,[nan]
Ghana,maize flour,zinc,percent of vehicle that is fortified,0,,[nan]
Ghana,maize flour,na,percent of vehicle that is industrially produced,1,0.0,[0.0]
Ghana,oil,vitamin a,percent of market covered by fortified product,0,,[nan]
Ghana,oil,vitamin d,percent of market covered by fortified product,0,,[nan]
Ghana,oil,vitamin a,percent of population eating fortified vehicle,3,29.066666666666663,"[34.9, 19.4, 32.9]"
Ghana,oil,vitamin d,percent of population eating fortified vehicle,0,,[nan]
Ghana,oil,na,percent of population eating industrially produced vehicle,0,,[nan]
Ghana,oil,na,percent of population eating vehicle,4,96.275,"[98.0, 94.7, 96.8, 95.6]"
Ghana,oil,vitamin a,percent of vehicle that is fortified,1,95.0,[95.0]
Ghana,oil,vitamin d,percent of vehicle that is fortified,0,,[nan]
Ghana,oil,na,percent of vehicle that is industrially produced,0,,[nan]
Ghana,rice,folic acid,percent of market covered by fortified product,0,,[nan]
Ghana,rice,iron,percent of market covered by fortified product,0,,[nan]
Ghana,rice,vitamin b1,percent of market covered by fortified product,0,,[nan]
Ghana,rice,vitamin b12,percent of market covered by fortified product,0,,[nan]
Ghana,rice,zinc,percent of market covered by fortified product,0,,[nan]
Ghana,rice,folic acid,percent of population eating fortified vehicle,0,,[nan]
Ghana,rice,iron,percent of population eating fortified vehicle,0,,[nan]
Ghana,rice,vitamin b1,percent of population eating fortified vehicle,0,,[nan]
Ghana,rice,vitamin b12,percent of population eating fortified vehicle,0,,[nan]
Ghana,rice,zinc,percent of population eating fortified vehicle,0,,[nan]
Ghana,rice,na,percent of population eating industrially produced vehicle,0,,[nan]
Ghana,rice,na,percent of population eating vehicle,0,,[nan]
Ghana,rice,folic acid,percent of vehicle that is fortified,0,,[nan]
Ghana,rice,iron,percent of vehicle that is fortified,0,,[nan]
Ghana,rice,vitamin b1,percent of vehicle that is fortified,0,,[nan]
Ghana,rice,vitamin b12,percent of vehicle that is fortified,0,,[nan]
Ghana,rice,zinc,percent of vehicle that is fortified,0,,[nan]
Ghana,rice,na,percent of vehicle that is industrially produced,1,30.0,"[30.0, nan]"
Ghana,wheat flour,folic acid,percent of market covered by fortified product,0,,[nan]
Ghana,wheat flour,iron,percent of market covered by fortified product,0,,[nan]
Ghana,wheat flour,vitamin a,percent of market covered by fortified product,0,,[nan]
Ghana,wheat flour,vitamin b1,percent of market covered by fortified product,0,,[nan]
Ghana,wheat flour,vitamin b12,percent of market covered by fortified product,0,,[nan]
Ghana,wheat flour,zinc,percent of market covered by fortified product,0,,[nan]
Ghana,wheat flour,folic acid,percent of population eating fortified vehicle,0,,[nan]
Ghana,wheat flour,iron,percent of population eating fortified vehicle,0,,[nan]
Ghana,wheat flour,vitamin a,percent of population eating fortified vehicle,0,,[nan]
Ghana,wheat flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan]
Ghana,wheat flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan]
Ghana,wheat flour,zinc,percent of population eating fortified vehicle,0,,[nan]
Ghana,wheat flour,na,percent of population eating industrially produced vehicle,0,,[nan]
Ghana,wheat flour,na,percent of population eating vehicle,0,,[nan]
Ghana,wheat flour,folic acid,percent of vehicle that is fortified,5,57.0,"[100.0, 13.0, 47.0, 25.0, 100.0]"
Ghana,wheat flour,iron,percent of vehicle that is fortified,5,57.0,"[100.0, 13.0, 47.0, 25.0, 100.0]"
Ghana,wheat flour,vitamin a,percent of vehicle that is fortified,5,57.0,"[100.0, 13.0, 47.0, 25.0, 100.0]"
Ghana,wheat flour,vitamin b1,percent of vehicle that is fortified,5,57.0,"[100.0, 13.0, 47.0, 25.0, 100.0]"
Ghana,wheat flour,vitamin b12,percent of vehicle that is fortified,5,57.0,"[100.0, 13.0, 47.0, 25.0, 100.0]"
Ghana,wheat flour,zinc,percent of vehicle that is fortified,5,57.0,"[100.0, 13.0, 47.0, 25.0, 100.0]"
Ghana,wheat flour,na,percent of vehicle that is industrially produced,4,75.0,"[100.0, 100.0, 100.0, 0.0]"
India,oil,vitamin a,percent of market covered by fortified product,0,,[nan]
India,oil,vitamin d,percent of market covered by fortified product,0,,[nan]
India,oil,vitamin a,percent of population eating fortified vehicle,1,24.3,[24.3]
India,oil,vitamin d,percent of population eating fortified vehicle,1,24.3,[24.3]
India,oil,na,percent of population eating industrially produced vehicle,1,89.4,[89.4]
India,oil,na,percent of population eating vehicle,1,100.0,[100.0]
India,oil,vitamin a,percent of vehicle that is fortified,0,,[nan]
India,oil,vitamin d,percent of vehicle that is fortified,0,,[nan]
India,oil,na,percent of vehicle that is industrially produced,0,,[nan]
India,rice,folic acid,percent of market covered by fortified product,0,,[nan]
India,rice,iron,percent of market covered by fortified product,0,,[nan]
India,rice,vitamin b1,percent of market covered by fortified product,0,,[nan]
India,rice,vitamin b12,percent of market covered by fortified product,0,,[nan]
India,rice,zinc,percent of market covered by fortified product,0,,[nan]
India,rice,folic acid,percent of population eating fortified vehicle,0,,[nan]
India,rice,iron,percent of population eating fortified vehicle,0,,[nan]
India,rice,vitamin b1,percent of population eating fortified vehicle,0,,[nan]
India,rice,vitamin b12,percent of population eating fortified vehicle,0,,[nan]
India,rice,zinc,percent of population eating fortified vehicle,0,,[nan]
India,rice,na,percent of population eating industrially produced vehicle,0,,[nan]
India,rice,na,percent of population eating vehicle,1,50.0,[50.0]
India,rice,folic acid,percent of vehicle that is fortified,1,0.0,[0.0]
India,rice,iron,percent of vehicle that is fortified,1,0.0,[0.0]
India,rice,vitamin b1,percent of vehicle that is fortified,1,0.0,[0.0]
India,rice,vitamin b12,percent of vehicle that is fortified,1,0.0,[0.0]
India,rice,zinc,percent of vehicle that is fortified,1,0.0,[0.0]
India,rice,na,percent of vehicle that is industrially produced,2,50.0,"[50.0, 50.0]"
India,salt,folic acid,percent of market covered by fortified product,0,,[nan]
India,salt,iron,percent of market covered by fortified product,0,,[nan]
India,salt,folic acid,percent of population eating fortified vehicle,0,,[nan]
India,salt,iron,percent of population eating fortified vehicle,2,92.7,"[92.7, 92.7]"
India,salt,na,percent of population eating industrially produced vehicle,2,96.5,"[100.0, 93.0]"
India,salt,na,percent of population eating vehicle,1,100.0,[100.0]
India,salt,folic acid,percent of vehicle that is fortified,0,,[nan]
India,salt,iron,percent of vehicle that is fortified,0,,[nan]
India,salt,na,percent of vehicle that is industrially produced,0,,[nan]
India,wheat flour,folic acid,percent of market covered by fortified product,0,,[nan]
India,wheat flour,iron,percent of market covered by fortified product,0,,[nan]
India,wheat flour,vitamin a,percent of market covered by fortified product,0,,[nan]
India,wheat flour,vitamin b1,percent of market covered by fortified product,0,,[nan]
India,wheat flour,vitamin b12,percent of market covered by fortified product,0,,[nan]
India,wheat flour,zinc,percent of market covered by fortified product,0,,[nan]
India,wheat flour,folic acid,percent of population eating fortified vehicle,1,6.3,[6.3]
India,wheat flour,iron,percent of population eating fortified vehicle,1,6.3,[6.3]
India,wheat flour,vitamin a,percent of population eating fortified vehicle,0,,[nan]
India,wheat flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan]
India,wheat flour,vitamin b12,percent of population eating fortified vehicle,1,6.3,[6.3]
India,wheat flour,zinc,percent of population eating fortified vehicle,0,,[nan]
India,wheat flour,na,percent of population eating industrially produced vehicle,1,7.1,[7.1]
India,wheat flour,na,percent of population eating vehicle,1,83.2,[83.2]
India,wheat flour,folic acid,percent of vehicle that is fortified,1,2.0,[2.0]
India,wheat flour,iron,percent of vehicle that is fortified,1,2.0,[2.0]
India,wheat flour,vitamin a,percent of vehicle that is fortified,1,2.0,[2.0]
India,wheat flour,vitamin b1,percent of vehicle that is fortified,1,2.0,[2.0]
India,wheat flour,vitamin b12,percent of vehicle that is fortified,1,2.0,[2.0]
India,wheat flour,zinc,percent of vehicle that is fortified,1,2.0,[2.0]
India,wheat flour,na,percent of vehicle that is industrially produced,2,30.0,"[30.0, 30.0]"
Indonesia,oil,vitamin a,percent of market covered by fortified product,0,,[nan]
Indonesia,oil,vitamin d,percent of market covered by fortified product,0,,[nan]
Indonesia,oil,vitamin a,percent of population eating fortified vehicle,0,,[nan]
Indonesia,oil,vitamin d,percent of population eating fortified vehicle,0,,[nan]
Indonesia,oil,na,percent of population eating industrially produced vehicle,0,,[nan]
Indonesia,oil,na,percent of population eating vehicle,0,,[nan]
Indonesia,oil,vitamin a,percent of vehicle that is fortified,1,43.0,[43.0]
Indonesia,oil,vitamin d,percent of vehicle that is fortified,0,,[nan]
Indonesia,oil,na,percent of vehicle that is industrially produced,1,95.0,[95.0]
Indonesia,wheat flour,folic acid,percent of market covered by fortified product,0,,[nan]
Indonesia,wheat flour,iron,percent of market covered by fortified product,0,,[nan]
Indonesia,wheat flour,vitamin a,percent of market covered by fortified product,0,,[nan]
Indonesia,wheat flour,vitamin b1,percent of market covered by fortified product,0,,[nan]
Indonesia,wheat flour,vitamin b12,percent of market covered by fortified product,0,,[nan]
Indonesia,wheat flour,zinc,percent of market covered by fortified product,0,,[nan]
Indonesia,wheat flour,folic acid,percent of population eating fortified vehicle,1,73.1,[73.1]
Indonesia,wheat flour,iron,percent of population eating fortified vehicle,1,73.1,[73.1]
Indonesia,wheat flour,vitamin a,percent of population eating fortified vehicle,0,,[nan]
Indonesia,wheat flour,vitamin b1,percent of population eating fortified vehicle,1,73.1,[73.1]
Indonesia,wheat flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan]
Indonesia,wheat flour,zinc,percent of population eating fortified vehicle,1,73.1,[73.1]
Indonesia,wheat flour,na,percent of population eating industrially produced vehicle,0,,[nan]
Indonesia,wheat flour,na,percent of population eating vehicle,0,,[nan]
Indonesia,wheat flour,folic acid,percent of vehicle that is fortified,1,87.0,[87.0]
Indonesia,wheat flour,iron,percent of vehicle that is fortified,1,87.0,[87.0]
Indonesia,wheat flour,vitamin a,percent of vehicle that is fortified,0,,[nan]
Indonesia,wheat flour,vitamin b1,percent of vehicle that is fortified,1,87.0,[87.0]
Indonesia,wheat flour,vitamin b12,percent of vehicle that is fortified,0,,[nan]
Indonesia,wheat flour,zinc,percent of vehicle that is fortified,1,87.0,[87.0]
Indonesia,wheat flour,na,percent of vehicle that is industrially produced,1,100.0,[100.0]
Kenya,maize flour,folic acid,percent of market covered by fortified product,0,,[nan]
Kenya,maize flour,iron,percent of market covered by fortified product,0,,[nan]
Kenya,maize flour,vitamin a,percent of market covered by fortified product,0,,[nan]
Kenya,maize flour,vitamin b1,percent of market covered by fortified product,0,,[nan]
Kenya,maize flour,vitamin b12,percent of market covered by fortified product,0,,[nan]
Kenya,maize flour,zinc,percent of market covered by fortified product,0,,[nan]
Kenya,maize flour,folic acid,percent of population eating fortified vehicle,0,,[nan]
Kenya,maize flour,iron,percent of population eating fortified vehicle,0,,[nan]
Kenya,maize flour,vitamin a,percent of population eating fortified vehicle,0,,[nan]
Kenya,maize flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan]
Kenya,maize flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan]
Kenya,maize flour,zinc,percent of population eating fortified vehicle,0,,[nan]
Kenya,maize flour,na,percent of population eating industrially produced vehicle,1,36.67,[36.67]
Kenya,maize flour,na,percent of population eating vehicle,12,53.10583333333333,"[85.27, 57.0, 63.0, 81.0, 16.0, 38.0, 17.0, 89.0, 91.0, 95.0, 2.0, 3.0]"
Kenya,maize flour,folic acid,percent of vehicle that is fortified,1,0.0,[0.0]
Kenya,maize flour,iron,percent of vehicle that is fortified,1,0.0,[0.0]
Kenya,maize flour,vitamin a,percent of vehicle that is fortified,1,0.0,[0.0]
Kenya,maize flour,vitamin b1,percent of vehicle that is fortified,1,0.0,[0.0]
Kenya,maize flour,vitamin b12,percent of vehicle that is fortified,1,0.0,[0.0]
Kenya,maize flour,zinc,percent of vehicle that is fortified,1,0.0,[0.0]
Kenya,maize flour,na,percent of vehicle that is industrially produced,1,40.0,[40.0]
Kenya,oil,vitamin a,percent of market covered by fortified product,0,,[nan]
Kenya,oil,vitamin d,percent of market covered by fortified product,0,,[nan]
Kenya,oil,vitamin a,percent of population eating fortified vehicle,0,,[nan]
Kenya,oil,vitamin d,percent of population eating fortified vehicle,0,,[nan]
Kenya,oil,na,percent of population eating industrially produced vehicle,1,9.39,[9.39]
Kenya,oil,na,percent of population eating vehicle,13,29.705384615384617,"[16.17, 6.0, 16.0, 7.0, 12.0, 38.0, 45.0, 60.0, 70.0, 72.0, 9.0, 18.0, 17.0]"
Kenya,oil,vitamin a,percent of vehicle that is fortified,0,,[nan]
Kenya,oil,vitamin d,percent of vehicle that is fortified,0,,[nan]
Kenya,oil,na,percent of vehicle that is industrially produced,0,,[nan]
Kenya,wheat flour,folic acid,percent of market covered by fortified product,0,,[nan]
Kenya,wheat flour,iron,percent of market covered by fortified product,0,,[nan]
Kenya,wheat flour,vitamin a,percent of market covered by fortified product,0,,[nan]
Kenya,wheat flour,vitamin b1,percent of market covered by fortified product,0,,[nan]
Kenya,wheat flour,vitamin b12,percent of market covered by fortified product,0,,[nan]
Kenya,wheat flour,zinc,percent of market covered by fortified product,0,,[nan]
Kenya,wheat flour,folic acid,percent of population eating fortified vehicle,0,,[nan]
Kenya,wheat flour,iron,percent of population eating fortified vehicle,0,,[nan]
Kenya,wheat flour,vitamin a,percent of population eating fortified vehicle,0,,[nan]
Kenya,wheat flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan]
Kenya,wheat flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan]
Kenya,wheat flour,zinc,percent of population eating fortified vehicle,0,,[nan]
Kenya,wheat flour,na,percent of population eating industrially produced vehicle,1,30.95,[30.95]
Kenya,wheat flour,na,percent of population eating vehicle,1,36.58,[36.58]
Kenya,wheat flour,folic acid,percent of vehicle that is fortified,1,100.0,[100.0]
Kenya,wheat flour,iron,percent of vehicle that is fortified,1,100.0,[100.0]
Kenya,wheat flour,vitamin a,percent of vehicle that is fortified,2,100.0,"[100.0, 100.0]"
Kenya,wheat flour,vitamin b1,percent of vehicle that is fortified,1,100.0,[100.0]
Kenya,wheat flour,vitamin b12,percent of vehicle that is fortified,1,100.0,[100.0]
